City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
818,matale,lk,70.34,overcast clouds,7.4721,80.6234,Anil's Inn
821,los andes,cl,70.57,clear sky,-32.8337,-70.5983,Hotel Los Andes
843,richards bay,za,68.07,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
860,vilhena,br,67.6,overcast clouds,-12.7406,-60.1458,Hotel Mirage
866,warragul,au,67.44,clear sky,-38.1667,145.9333,Comfort Inn & Suites Warragul
876,saint-joseph,re,71.96,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
912,santa maria,cv,69.1,clear sky,-29.6842,-53.8069,Hotel Morotin
913,nouadhibou,mr,66.18,clear sky,20.931,-17.0347,El Medina
920,presidencia roque saenz pena,ar,70.14,clear sky,-26.7852,-60.4388,Hotel Aconcagua
943,alice springs,au,71.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
955,ilhabela,br,70.11,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
966,ialibu,pg,66.83,few clouds,-6.2821,143.9935,Eastwood Guesthouse
967,duncan,us,69.69,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
996,niamtougou,tg,71.44,clear sky,9.7681,1.1053,Sevebat
999,mizdah,ly,67.28,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
1013,nakapiripirit,ug,67.71,broken clouds,1.9167,34.7833,NaN
1018,nizwa,om,68.77,clear sky,22.9333,57.5333,Orient Apartments
1019,ibra,om,69.8,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
1038,la libertad,sv,68.97,scattered clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
1065,attur,in,71.8,overcast clouds,11.6,78.6167,RR Plaza
1071,miramar,mx,71.62,clear sky,25.9873,-80.2323,Miramar
1078,mbanza-ngungu,cd,68.16,light rain,-5.25,14.8667,Hotel Full Business
1081,koulamoutou,ga,71.58,light rain,-1.1303,12.4736,Motel Bouenguidi
1082,mounana,ga,70.43,moderate rain,-1.4085,13.1586,NaN
1086,kahama,tz,68.22,broken clouds,-3.8333,32.6,Kahama Gold Hotel
1100,kaohsiung,tw,69.75,overcast clouds,22.6163,120.3133,御宿商旅-中山館
1138,leopold,au,67.46,scattered clouds,-38.1833,144.4667,Avila Vista
1155,araouane,ml,71.78,overcast clouds,18.9048,-3.5265,NaN
1191,nishihara,jp,69.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
1203,rio cuarto,ar,71.37,few clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
1204,general pico,ar,67.14,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
1211,ananas,br,69.96,clear sky,19.2466,-71.9557,NaN
1229,licata,it,69.55,overcast clouds,37.1071,13.9461,Villa Giuliana
1233,inyonga,tz,67.89,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
1238,vangaindrano,mg,71.51,broken clouds,-23.35,47.6,Hotel Fanilo
1239,farafangana,mg,71.56,scattered clouds,-22.8167,47.8333,Miarina
1251,yulara,au,67.84,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
1287,mananjary,mg,70.95,overcast clouds,-21.2167,48.3333,Vahiny Lodge
1293,surman,ly,70.09,overcast clouds,32.7567,12.5716,عمارة السفير
1294,tripoli,ly,71.13,overcast clouds,32.8752,13.1875,Hotel Al-Safwa
1300,campeche,mx,69.1,clear sky,19.0,-90.5,NaN
1322,fatehpur sikri,in,66.52,clear sky,27.1,77.6667,Hotel Goverdhan Tourist Complex
1324,ponta delgada,pt,70.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
1333,awjilah,ly,67.48,overcast clouds,29.1081,21.2869,NaN
1346,kuchinarai,th,69.42,broken clouds,16.541,104.05,โรงแรมแสงชัย
1347,savannakhet,la,68.02,mist,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
1352,vila franca do campo,pt,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
1362,lingao,cn,68.07,light rain,19.9103,109.6859,Lingao Ditai Inn
1369,ciudad valles,mx,71.78,broken clouds,21.9833,-99.0167,Hotel Mision Ciudad Valles
1372,porto santo,pt,67.91,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
1410,kutum,sd,69.37,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
1423,chapada dos guimaraes,br,69.46,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
1425,iacu,br,71.83,overcast clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
1426,cruz das almas,br,70.18,overcast clouds,-12.67,-39.1019,Stúdios Stifler
1440,victor harbor,au,68.47,overcast clouds,-35.5667,138.6167,McCracken Country Club
1445,minchinabad,pk,66.6,clear sky,30.163,73.5685,New City Top Hotel & Restaurant
1448,mbalmayo,cm,67.96,overcast clouds,3.5167,11.5,Hôtel les Nouveaux Jardins Des Tropiques
1455,sao joao do paraiso,br,67.82,overcast clouds,-15.3136,-42.0144,Avenida Palace Hotel
1456,itambe,br,70.16,light rain,-15.245,-40.6244,Pousada San Remo
1468,sabha,jo,68.34,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
1482,general roca,ar,72.0,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
1486,mazamari,pe,71.01,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
